range_label,range_min,range_max,source_file,fault_type,requested_k,effective_k,candidate_nets,feasible_fault_sites,capped,output_file
1000-2000,1000,2000,log2.v,glitch,1842,1842,46714,46714,0,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1842_log2.v
1000-2000,1000,2000,log2.v,bridging,1842,1842,46714,1091075541,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1842_log2.v
100-500,100,500,max.v,stuck_at,269,269,4933,4933,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k269_max.v
100-500,100,500,max.v,glitch,269,269,4933,4933,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k269_max.v
100-500,100,500,max.v,bridging,269,269,4933,12164778,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k269_max.v
500-1000,500,1000,max.v,stuck_at,701,701,4933,4933,0,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k701_max.v
500-1000,500,1000,max.v,glitch,701,701,4933,4933,0,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k701_max.v
500-1000,500,1000,max.v,bridging,701,701,4933,12164778,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k701_max.v
1000-2000,1000,2000,max.v,stuck_at,1566,1566,4933,4933,0,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1566_max.v
1000-2000,1000,2000,max.v,glitch,1566,1566,4933,4933,0,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1566_max.v
1000-2000,1000,2000,max.v,bridging,1566,1566,4933,12164778,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1566_max.v
100-500,100,500,memctrl.v,stuck_at,398,398,82792,82792,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k398_memctrl.v
100-500,100,500,memctrl.v,glitch,398,398,82792,82792,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k398_memctrl.v
100-500,100,500,memctrl.v,bridging,398,398,82792,3427216236,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k398_memctrl.v
500-1000,500,1000,memctrl.v,stuck_at,884,884,82792,82792,0,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k884_memctrl.v
500-1000,500,1000,memctrl.v,glitch,884,884,82792,82792,0,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k884_memctrl.v
500-1000,500,1000,memctrl.v,bridging,884,884,82792,3427216236,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k884_memctrl.v
1000-2000,1000,2000,memctrl.v,stuck_at,1572,1572,82792,82792,0,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1572_memctrl.v
1000-2000,1000,2000,memctrl.v,glitch,1572,1572,82792,82792,0,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1572_memctrl.v
1000-2000,1000,2000,memctrl.v,bridging,1572,1572,82792,3427216236,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1572_memctrl.v
100-500,100,500,multiplier.v,stuck_at,244,244,42846,42846,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k244_multiplier.v
100-500,100,500,multiplier.v,glitch,244,244,42846,42846,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k244_multiplier.v
100-500,100,500,multiplier.v,bridging,244,244,42846,917868435,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k244_multiplier.v
500-1000,500,1000,multiplier.v,stuck_at,920,920,42846,42846,0,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k920_multiplier.v
500-1000,500,1000,multiplier.v,glitch,920,920,42846,42846,0,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k920_multiplier.v
500-1000,500,1000,multiplier.v,bridging,920,920,42846,917868435,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k920_multiplier.v
1000-2000,1000,2000,multiplier.v,stuck_at,1314,1314,42846,42846,0,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1314_multiplier.v
1000-2000,1000,2000,multiplier.v,glitch,1314,1314,42846,42846,0,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1314_multiplier.v
1000-2000,1000,2000,multiplier.v,bridging,1314,1314,42846,917868435,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1314_multiplier.v
100-500,100,500,router.v,stuck_at,187,187,362,362,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k187_router.v
100-500,100,500,router.v,glitch,187,187,362,362,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k187_router.v
100-500,100,500,router.v,bridging,187,187,362,65341,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k187_router.v
500-1000,500,1000,router.v,stuck_at,518,362,362,362,1,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k518_router.v
500-1000,500,1000,router.v,glitch,518,362,362,362,1,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k518_router.v
500-1000,500,1000,router.v,bridging,518,518,362,65341,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k518_router.v
1000-2000,1000,2000,router.v,stuck_at,1172,362,362,362,1,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1172_router.v
1000-2000,1000,2000,router.v,glitch,1172,362,362,362,1,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1172_router.v
1000-2000,1000,2000,router.v,bridging,1172,1172,362,65341,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1172_router.v
100-500,100,500,sin.v,stuck_at,146,146,7630,7630,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k146_sin.v
100-500,100,500,sin.v,glitch,146,146,7630,7630,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k146_sin.v
100-500,100,500,sin.v,bridging,146,146,7630,29104635,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k146_sin.v
500-1000,500,1000,sin.v,stuck_at,520,520,7630,7630,0,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k520_sin.v
500-1000,500,1000,sin.v,glitch,520,520,7630,7630,0,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k520_sin.v
500-1000,500,1000,sin.v,bridging,520,520,7630,29104635,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k520_sin.v
1000-2000,1000,2000,sin.v,stuck_at,1224,1224,7630,7630,0,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1224_sin.v
1000-2000,1000,2000,sin.v,glitch,1224,1224,7630,7630,0,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1224_sin.v
1000-2000,1000,2000,sin.v,bridging,1224,1224,7630,29104635,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1224_sin.v
100-500,100,500,sqrt.v,stuck_at,261,261,36733,36733,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k261_sqrt.v
100-500,100,500,sqrt.v,glitch,261,261,36733,36733,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k261_sqrt.v
100-500,100,500,sqrt.v,bridging,261,261,36733,674638278,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k261_sqrt.v
500-1000,500,1000,sqrt.v,stuck_at,946,946,36733,36733,0,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k946_sqrt.v
500-1000,500,1000,sqrt.v,glitch,946,946,36733,36733,0,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k946_sqrt.v
500-1000,500,1000,sqrt.v,bridging,946,946,36733,674638278,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k946_sqrt.v
1000-2000,1000,2000,sqrt.v,stuck_at,1711,1711,36733,36733,0,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1711_sqrt.v
1000-2000,1000,2000,sqrt.v,glitch,1711,1711,36733,36733,0,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1711_sqrt.v
1000-2000,1000,2000,sqrt.v,bridging,1711,1711,36733,674638278,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1711_sqrt.v
100-500,100,500,square.v,stuck_at,150,150,35136,35136,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k150_square.v
100-500,100,500,square.v,glitch,150,150,35136,35136,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k150_square.v
100-500,100,500,square.v,bridging,150,150,35136,617251680,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k150_square.v
500-1000,500,1000,square.v,stuck_at,697,697,35136,35136,0,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k697_square.v
500-1000,500,1000,square.v,glitch,697,697,35136,35136,0,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k697_square.v
500-1000,500,1000,square.v,bridging,697,697,35136,617251680,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k697_square.v
1000-2000,1000,2000,square.v,stuck_at,1334,1334,35136,35136,0,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1334_square.v
1000-2000,1000,2000,square.v,glitch,1334,1334,35136,35136,0,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1334_square.v
1000-2000,1000,2000,square.v,bridging,1334,1334,35136,617251680,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1334_square.v
100-500,100,500,voter.v,stuck_at,156,156,25993,25993,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k156_voter.v
100-500,100,500,voter.v,glitch,156,156,25993,25993,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k156_voter.v
100-500,100,500,voter.v,bridging,156,156,25993,337805028,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k156_voter.v
500-1000,500,1000,voter.v,stuck_at,919,919,25993,25993,0,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k919_voter.v
500-1000,500,1000,voter.v,glitch,919,919,25993,25993,0,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k919_voter.v
500-1000,500,1000,voter.v,bridging,919,919,25993,337805028,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k919_voter.v
1000-2000,1000,2000,voter.v,stuck_at,1470,1470,25993,25993,0,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1470_voter.v
1000-2000,1000,2000,voter.v,glitch,1470,1470,25993,25993,0,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1470_voter.v
1000-2000,1000,2000,voter.v,bridging,1470,1470,25993,337805028,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1470_voter.v
